Venue,Room,Date,Starttime,Endtime,Speaker,Position,Company,Title,Track,Topic
etc. Liverpool Street,Broadgate,20150507,1600,1630,Christophe Willemsen,Consultant,GraphAware,Graphgen - Graph prototyping made easy,Community Track
etc. Liverpool Street,London Wall,20150507,1530,1600,Stefan Armbruster,Field Engineer,Neo Technology,From Zero to Graph: Scale,Practictioner Track
etc. Liverpool Street,Reception area,20150507,1630,1645,,,,Coffee,Fika
etc. Liverpool Street,Keynote,20150507,1645,1730,Jim Webber,Chief Scientist,Neo Technology,Closing Keynote - Impossible is nothing with Graphs,Keynote
etc. Liverpool Street,Keynote,20150507,1730,1745,Holger Temme,Director Central Europe & Middle East,Neo Technology,Prize draw and wrap-up,Keynote
etc. Liverpool Street,Keynote,20150507,1730,1745,Rik Van Bruggen,Director Northern Europe,Neo Technology,Prize draw and wrap-up,Keynote
etc. Liverpool Street,Reception area,20150507,1745,2030,,,,GraphReception,Fika
etc. Liverpool Street,GraphHospital,20150507,1045,1145,Ryan Boyd,,Neo Technology,Cypher / Visualization / Import / Modeling / Cluster / Driver / Java,GraphClinic
etc. Liverpool Street,GraphHospital,20150507,1045,1145,Brian Underwood,,Neo Technology,Cypher / Visualization / Import / Modeling / Cluster / Driver / Java,GraphClinic
etc. Liverpool Street,GraphHospital,20150507,1200,1300,Ryan Boyd,,Neo Technology,Cypher / Visualization / Import / Modeling / Cluster / Driver / Java,GraphClinic
etc. Liverpool Street,GraphHospital,20150507,1200,1300,Brian Underwood,,Neo Technology,Cypher / Visualization / Import / Modeling / Cluster / Driver / Java,GraphClinic
etc. Liverpool Street,GraphHospital,20150507,1415,1515,Ryan Boyd,,Neo Technology,Cypher / Visualization / Import / Modeling / Cluster / Driver / Java,GraphClinic
etc. Liverpool Street,GraphHospital,20150507,1415,1515,Michael Hunger,,Neo Technology,Cypher / Visualization / Import / Modeling / Cluster / Driver / Java,GraphClinic
etc. Liverpool Street,GraphHospital,20150507,1415,1515,Andreas Kolleger,,Neo Technology,Cypher / Visualization / Import / Modeling / Cluster / Driver / Java,GraphClinic
etc. Liverpool Street,GraphHospital,20150507,1530,1630,Ryan Boyd,,Neo Technology,Cypher / Visualization / Import / Modeling / Cluster / Driver / Java,GraphClinic
etc. Liverpool Street,GraphHospital,20150507,1530,1630,Michael Hunger,,Neo Technology,Cypher / Visualization / Import / Modeling / Cluster / Driver / Java,GraphClinic
etc. Liverpool Street,GraphHospital,20150507,1530,1630,Andreas Kolleger,,Neo Technology,Cypher / Visualization / Import / Modeling / Cluster / Driver / Java,GraphClinic
etc. Liverpool Street,GraphHospital,20150507,1730,2030,Brian Underwood,,Neo Technology,Cypher / Visualization / Import / Modeling / Cluster / Driver / Java,GraphClinic
etc. Liverpool Street,GraphHospital,20150507,1730,2030,Michael Hunger,,Neo Technology,Cypher / Visualization / Import / Modeling / Cluster / Driver / Java,GraphClinic
